concept:bird:loons	bird : loons
concept:beverage:mocha	beverage : mocha
concept:stateorprovince:wielkopolskie	state or province : wielkopolskie
concept:country:rwanda	country : rwanda
concept:chemical:roads	chemical : roads
concept:sportsequipment:bat	sports equipment : bat
concept:televisionstation:wvva_tv	television station : wvva tv
concept:currency:euros	currency : euros
concept:sportsgame:more_months	sportsgame : more months
concept:visualizableobject:tv	visualizable object : tv
concept:retailstore:homeland	retail store : homeland
concept:bodypart:sac	bodypart : sac
concept:personeurope:disney	person europe : disney
concept:arachnid:black_widow_spiders	arachnid : black widow spiders
concept:city:st__petersburg	city : st  petersburg
concept:politicsblog:showcase	politics blog : showcase
concept:river:jamuna	river : jamuna
concept:election:train	election : train
concept:sportsteam:nebraska_cornhuskers	sports team : nebraska cornhuskers
concept:vegetable:onions	vegetable : onions
concept:disease:atherosclerosis	disease : atherosclerosis
concept:reptile:heron	reptile : heron
concept:newspaper:the_international_herald_tribune	newspaper : the international herald tribune
concept:year:n1893	year : n1893
concept:disease:anemia	disease : anemia
concept:product:imac	product : imac
concept:chemical:combustion_by_products	chemical : combustion by products
concept:country:italy	country : italy
concept:emotion:officer	emotion : officer
concept:disease:pku	disease : pku
concept:geopoliticallocation:el_toro	geopolitical location : el toro
concept:governmentorganization:industry	government organization : industry
concept:city:paris	city : paris
concept:politicaloffice:us_senate_seat	political office : us senate seat
concept:visualizableattribute:current_water	visualizable attribute : current water
concept:awardtrophytournament:nfc_championship	award trophy tournament : nfc championship
concept:country:mauritania	country : mauritania
concept:city:litchfield	city : litchfield
concept:coach:john_bunting	coach : john bunting
concept:stateorprovince:products	state or province : products
concept:city:cerritos	city : cerritos
concept:bank:lawyer	bank : lawyer
concept:musician:jimmy_johnson	musician : jimmy johnson
concept:plant:black_gum	plant : black gum
concept:chemical:sulfate	chemical : sulfate
concept:city:co	city : co
concept:island:new_york_city_metropolitan_area	island : new york city metropolitan area
concept:stateorprovince:line	state or province : line
concept:blog:iowa	blog : iowa
concept:personaustralia:martin_jol	person australia : martin jol
concept:city:caroline	city : caroline
concept:beverage:arizona	beverage : arizona
concept:year:n1836	year : n1836
concept:chemical:acids	chemical : acids
concept:city:mesquite	city : mesquite
concept:disease:mi	disease : mi
concept:newspaper:the_new_york_sun	newspaper : the new york sun
concept:city:download	city : download
concept:sportsteamposition:point_guard	sports team position : point guard
concept:bakedgood:appetizer	baked good : appetizer
concept:monument:area_residents	monument : area residents
concept:fish:zebrafish	fish : zebrafish
concept:cheese:puff_pastry	cheese : puff pastry
concept:awardtrophytournament:australian_open	award trophy tournament : australian open
concept:sportsequipment:goals	sports equipment : goals
concept:mammal:hogs	mammal : hogs
concept:plant:flowers	plant : flowers
concept:airport:minneapolis	airport : minneapolis
concept:beach:conway	beach : conway
concept:mammal:squirrels	mammal : squirrels
concept:professionalorganization:lions	professional organization : lions
concept:visualizablething:indoor_air	visualizable thing : indoor air
concept:country:jamaica	country : jamaica
concept:company:zoho_office	company : zoho office
concept:company:vogue001	company : vogue001
concept:university:national	university : national
concept:stadiumoreventvenue:skyreach_centre	stadium or event venue : skyreach centre
concept:skiarea:campground	ski area : campground
concept:county:god	county : god
concept:profession:providers	profession : providers
concept:city:bogota	city : bogota
concept:coach:jagodzinski	coach : jagodzinski
concept:profession:faculty	profession : faculty
concept:governmentorganization:copy	government organization : copy
concept:ceo:mark_zuckerberg	ceo : mark zuckerberg
concept:attraction:lakeside	attraction : lakeside
concept:stateorprovince:illinois	state or province : illinois
concept:coach:dave_leitao	coach : dave leitao
concept:city:york	city : york
concept:city:idyllwild	city : idyllwild
concept:sportsteamposition:outfield	sports team position : outfield
concept:sportsteam:brigham_young_cougars	sports team : brigham young cougars
concept:city:eastlake	city : eastlake
concept:university:microsoft	university : microsoft
concept:personmexico:ryan_whitney	person mexico : ryan whitney
concept:sportsgame:n1952_world_series	sportsgame : n1952 world series
concept:musicalbum:nine	music album : nine
concept:building:photographs	building : photographs
concept:sportsteam:sporting_kansas_city	sports team : sporting kansas city
concept:river:french_broad_river	river : french broad river
concept:disease:add_	disease : add 
concept:city:wilmer	city : wilmer
concept:city:pioneer	city : pioneer
concept:musicartist:oryx_and_crake	music artist : oryx and crake
concept:month:august	month : august
concept:emotion:corporations	emotion : corporations
concept:stadiumoreventvenue:fenway	stadium or event venue : fenway
concept:sportsteamposition:infield	sports team position : infield
concept:fish:sea_bass	fish : sea bass
concept:beverage:reverse_osmosis	beverage : reverse osmosis
concept:city:cupertino	city : cupertino
concept:animal:fowl	animal : fowl
concept:city:florence	city : florence
concept:disease:pneumonia	disease : pneumonia
concept:county:oakland	county : oakland
concept:plant:white_pines	plant : white pines
concept:skiarea:kentucky	ski area : kentucky
concept:automobilemaker:shopping_cart	automobile maker : shopping cart
concept:plant:lime	plant : lime
concept:disease:rubella	disease : rubella
concept:plant:beech	plant : beech
concept:coach:texas_longhorns	coach : texas longhorns
concept:reptile:stock	reptile : stock
concept:condiment:red_sauce	condiment : red sauce
concept:disease:hiv	disease : hiv
concept:planet:eastern	planet : eastern
concept:skiarea:rock_creek	ski area : rock creek
concept:insect:jackets	insect : jackets
concept:coach:art_shell	coach : art shell
concept:sportsleague:acc	sports league : acc
concept:amphibian:dragons	amphibian : dragons
concept:chemical:nitrogen_oxide_emissions	chemical : nitrogen oxide emissions
concept:city:atwood	city : atwood
concept:disease:cases	disease : cases
concept:stateorprovince:international	state or province : international
concept:city:groveland	city : groveland
concept:athlete:rick_pitino	athlete : rick pitino
concept:governmentorganization:reference	government organization : reference
concept:agriculturalproduct:plum	agricultural product : plum
concept:disease:genetic_disorders	disease : genetic disorders
concept:televisionstation:kopb_tv	television station : kopb tv
concept:scientist:paypal	scientist : paypal
concept:politicianus:president_george_w__bush	politician us : president george w  bush
concept:river:bayou_lafourche	river : bayou lafourche
concept:coach:dungy	coach : dungy
concept:landscapefeatures:full	landscape features : full
concept:reptile:fishes	reptile : fishes
concept:university:brigham_young	university : brigham young
concept:city:drexel_hill	city : drexel hill
concept:sportsteam:saints	sports team : saints
concept:politicsissue:god	politics issue : god
concept:jobposition:president_elect	job position : president elect
concept:crustacean:black_tiger_shrimp	crustacean : black tiger shrimp
concept:bird:buzzard	bird : buzzard
concept:publication:philippines	publication : philippines
concept:insect:syrphid_flies	insect : syrphid flies
concept:year:n1965	year : n1965
concept:date:n1969	date : n1969
concept:economicsector:advertising	economic sector : advertising
concept:bone:spleen	bone : spleen
concept:sportsteam:aggies	sports team : aggies
concept:city:st___petersburg	city : st   petersburg
concept:transportation:safety	transportation : safety
concept:reptile:seaturtles	reptile : seaturtles
concept:website:seven_days	website : seven days
concept:personmexico:alberto_gilardino	person mexico : alberto gilardino
concept:island:author	island : author
concept:organization:republican	organization : republican
concept:geopoliticallocation:union	geopolitical location : union
concept:mammal:bobcat	mammal : bobcat
concept:sportsteam:philadelphia_athletics	sports team : philadelphia athletics
concept:sport:detroit_lions	sport : detroit lions
concept:company:lycos	company : lycos
concept:city:kingsport	city : kingsport
concept:coach:bud_wilkinson	coach : bud wilkinson
concept:chemical:greenhouse_gasses	chemical : greenhouse gasses
concept:stadiumoreventvenue:hughes_stadium	stadium or event venue : hughes stadium
concept:chemical:compound	chemical : compound
concept:crustacean:giant_squid	crustacean : giant squid
concept:grain:benefits	grain : benefits
concept:disease:communication_disorders	disease : communication disorders
concept:fish:order	fish : order
concept:politician:sheila_dixon	politician : sheila dixon
concept:date:n1949	date : n1949
concept:sportsgame:n1950_world_series	sportsgame : n1950 world series
concept:chemical:information	chemical : information
concept:bodypart:adrenals	bodypart : adrenals
concept:hobby:tap	hobby : tap
concept:crustacean:cladocerans	crustacean : cladocerans
concept:vegetable:sauteed_mushrooms	vegetable : sauteed mushrooms
concept:sportsteam:boston_americans	sports team : boston americans
concept:coach:john_beilein	coach : john beilein
concept:company:imf	company : imf
concept:river:wisconsin_river	river : wisconsin river
concept:televisionstation:wjac_tv	television station : wjac tv
concept:plant:silver_maple	plant : silver maple
concept:restaurant:mecca	restaurant : mecca
concept:governmentorganization:cabinet	government organization : cabinet
concept:sportsteam:orioles	sports team : orioles
concept:year:n1994	year : n1994
concept:condiment:spicy_sauce	condiment : spicy sauce
concept:stadiumoreventvenue:bc_place_stadium	stadium or event venue : bc place stadium
concept:musicalbum:america	music album : america
concept:person:raleigh	person : raleigh
concept:website:issue	website : issue
